City,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Man-slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Criminal Sexual Contact,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counter-feiting/Forgery,Destruction/Damage/Vandalism of Property,
Abernathy,"2,792",25,7,5,13,5,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,
Abilene,"128,387","7,636","2,832","3,616","1,188","2,667",393,"1,981",293,7,6,1,0,0,0,0,8,150,68,27,16,39,0,0,3,0,394,64,678,
Addison,"17,527","2,396",461,"1,647",288,428,33,326,69,3,3,0,0,1,1,0,17,12,8,1,0,3,0,0,1,0,78,22,190,
Alamo,"20,640","1,685",257,"1,100",328,214,99,65,50,1,1,0,0,0,0,0,13,29,11,1,4,13,0,0,2,0,96,20,184,
Alamo Heights,"7,609",389,23,238,128,23,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,28,
Alba,502,23,10,4,9,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Alice,"17,622","1,636",592,739,305,560,95,355,110,1,1,0,0,0,0,0,11,20,12,3,1,4,0,0,2,0,104,43,182,
Allen,"114,696","2,745",556,"1,605",584,497,87,344,66,14,13,1,0,4,3,1,6,35,20,2,1,12,0,0,1,0,86,55,136,
Alma,414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Alpine,"5,869",29,21,8,0,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,
Alton,"20,357",714,225,412,77,220,134,24,62,1,1,0,0,0,0,0,0,4,2,0,0,2,0,0,1,0,77,6,116,
Alvarado,"6,473",329,106,142,81,93,14,73,6,0,0,0,0,0,0,0,3,10,5,0,0,5,0,0,0,0,12,5,32,
Alvin,"28,742","1,382",451,700,231,431,32,367,32,1,1,0,0,0,0,0,1,18,11,3,1,3,0,0,1,0,52,20,97,
Amarillo,"201,684","17,350","5,768","9,640","1,942","5,237","1,080","3,546",611,20,16,0,4,0,0,0,246,265,125,22,21,97,0,0,41,0,932,196,"1,795",
Andrews,"13,157",544,140,276,128,127,43,62,22,0,0,0,0,0,0,0,4,9,7,0,0,2,0,0,1,0,22,9,66,
Angleton,"19,703","1,011",347,492,172,314,39,214,61,1,0,1,0,0,0,0,4,28,8,2,1,17,0,0,0,0,45,29,83,
Anna,"27,436",794,194,392,208,170,36,91,43,0,0,0,0,0,0,0,4,20,7,5,3,5,0,0,1,0,36,14,62,
Anthony,"3,853",399,81,67,251,74,6,46,22,0,0,0,0,0,0,0,1,6,2,1,0,3,0,0,1,0,4,0,23,
Aransas Pass,"8,843",527,177,258,92,166,23,124,19,0,0,0,0,0,0,0,2,9,7,0,0,2,0,0,1,0,31,4,30,
Archer City,"1,613",36,1,12,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,
Arcola,"2,331",118,33,64,21,29,8,13,8,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,9,2,13,
Argyle,"6,120",112,21,49,42,20,4,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,7,
Arlington,"394,799","26,761","8,214","14,318","4,229","7,723","1,395","5,101","1,227",20,16,3,1,14,13,1,19,438,246,33,9,149,1,0,12,3,"1,061",330,"2,067",
Arp,984,40,10,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,
Athens,"13,068",644,193,404,47,172,35,99,38,2,1,1,0,0,0,0,1,18,9,1,2,6,0,0,1,0,49,10,69,
Atlanta,"5,427",139,46,88,5,45,5,35,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,13,
Aubrey,"9,712",436,173,207,56,163,15,133,15,1,1,0,0,0,0,0,6,3,2,0,0,1,0,0,0,0,49,3,22,
Austin,"978,816","70,295","18,517","46,028","5,750","17,354","3,449","9,364","4,541",81,66,9,6,8,2,6,253,821,327,48,117,329,0,0,147,3,"4,345",782,"6,303",
Azle,"14,228",717,202,315,200,181,29,134,18,0,0,0,0,0,0,0,1,20,13,0,2,5,0,0,1,0,34,9,46,
Balch Springs,"26,776","1,586",307,"1,181",98,270,87,144,39,5,5,0,0,1,0,1,10,21,6,3,0,12,0,0,0,0,126,24,215,
Balcones Heights,"2,695",639,112,402,125,108,37,65,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,32,10,70,
Ballinger,"3,546",113,36,69,8,32,8,24,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,17,2,13,
Bangs,"1,533",26,17,7,2,17,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
Bastrop,"11,961","1,080",241,658,181,231,43,160,28,0,0,0,0,0,0,0,0,10,7,0,0,3,0,0,0,1,46,54,133,
Bay City,"17,247","1,472",420,759,293,408,77,287,44,2,2,0,0,0,0,0,3,7,4,1,0,2,0,0,7,0,90,28,122,
Baytown,"83,809","5,841","1,533","3,511",797,"1,446",222,981,243,3,2,1,0,4,2,2,5,75,45,9,0,21,0,0,3,0,400,15,426,
Beaumont,"110,671","11,379","4,500","5,613","1,266","4,235","1,160","2,399",676,17,17,0,0,1,1,0,74,173,82,28,13,50,0,0,19,0,637,149,926,
Bedford,"48,193","2,692",532,"1,376",784,488,69,340,79,0,0,0,0,1,1,0,4,39,25,4,1,9,0,0,0,0,88,21,142,
