City,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Man-slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Criminal Sexual Contact,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counter-feiting/Forgery,Destruction/Damage/Vandalism of Property,Unnamed: 30
Abernathy,2792,25,7,5,13,5,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0
Abilene,128387,7636,2832,3616,1188,2667,393,1981,293,7,6,1,0,0,0,0,8,150,68,27,16,39,0,0,3,0,394,64,678,0
Addison,17527,2396,461,1647,288,428,33,326,69,3,3,0,0,1,1,0,17,12,8,1,0,3,0,0,1,0,78,22,190,0
Alamo,20640,1685,257,1100,328,214,99,65,50,1,1,0,0,0,0,0,13,29,11,1,4,13,0,0,2,0,96,20,184,0
Alamo Heights,7609,389,23,238,128,23,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,28,0
Alba,502,23,10,4,9,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alice,17622,1636,592,739,305,560,95,355,110,1,1,0,0,0,0,0,11,20,12,3,1,4,0,0,2,0,104,43,182,0
Allen,114696,2745,556,1605,584,497,87,344,66,14,13,1,0,4,3,1,6,35,20,2,1,12,0,0,1,0,86,55,136,0
Alma,414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alpine,5869,29,21,8,0,21,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Alton,20357,714,225,412,77,220,134,24,62,1,1,0,0,0,0,0,0,4,2,0,0,2,0,0,1,0,77,6,116,0
Alvarado,6473,329,106,142,81,93,14,73,6,0,0,0,0,0,0,0,3,10,5,0,0,5,0,0,0,0,12,5,32,0
Alvin,28742,1382,451,700,231,431,32,367,32,1,1,0,0,0,0,0,1,18,11,3,1,3,0,0,1,0,52,20,97,0
Amarillo,201684,17350,5768,9640,1942,5237,1080,3546,611,20,16,0,4,0,0,0,246,265,125,22,21,97,0,0,41,0,932,196,1795,0
Andrews,13157,544,140,276,128,127,43,62,22,0,0,0,0,0,0,0,4,9,7,0,0,2,0,0,1,0,22,9,66,0
Angleton,19703,1011,347,492,172,314,39,214,61,1,0,1,0,0,0,0,4,28,8,2,1,17,0,0,0,0,45,29,83,0
Anna,27436,794,194,392,208,170,36,91,43,0,0,0,0,0,0,0,4,20,7,5,3,5,0,0,1,0,36,14,62,0
Anthony,3853,399,81,67,251,74,6,46,22,0,0,0,0,0,0,0,1,6,2,1,0,3,0,0,1,0,4,0,23,0
Aransas Pass,8843,527,177,258,92,166,23,124,19,0,0,0,0,0,0,0,2,9,7,0,0,2,0,0,1,0,31,4,30,0
Archer City,1613,36,1,12,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0
Arcola,2331,118,33,64,21,29,8,13,8,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,9,2,13,0
Argyle,6120,112,21,49,42,20,4,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,7,0
