City,Population,Total Offenses,"Crime Rate per 1,000",Rating
Abernathy,2792,25,8.954154727793696,5
Abilene,128387,7636,59.476426741025186,0
Addison,17527,2396,136.70337194043475,0
Alamo,20640,1685,81.63759689922482,0
Alamo Heights,7609,389,51.12366933894073,1
Alba,502,23,45.81673306772908,1
Alice,17622,1636,92.83849733287936,0
Allen,114696,2745,23.932831136220965,3
Alma,414,1,2.4154589371980677,5
Alpine,5869,29,4.94121656159482,5
Alton,20357,714,35.073930343370826,2
Alvarado,6473,329,50.82651011895566,1
Alvin,28742,1382,48.082944819428015,1
Amarillo,201684,17350,86.02566390987882,0
Andrews,13157,544,41.34681158318765,2
Angleton,19703,1011,51.31198294675938,1
Anna,27436,794,28.94007872867765,3
Anthony,3853,399,103.5556709057877,0
Aransas Pass,8843,527,59.59516001357006,0
Archer City,1613,36,22.318660880347178,4
Arcola,2331,118,50.62205062205062,1
Argyle,6120,112,18.300653594771244,4
Arlington,394799,26761,67.78385963490283,0
Arp,984,40,40.65040650406504,2
Athens,13068,644,49.28068564432201,1
Atlanta,5427,139,25.612677353970888,3
Aubrey,9712,436,44.89291598023065,1
Austin,978816,70295,71.81635772198247,0
Azle,14228,717,50.39359010402024,1
Balch Springs,26776,1586,59.23214819241111,0
Balcones Heights,2695,639,237.10575139146567,0
Ballinger,3546,113,31.866892272983645,2
Bangs,1533,26,16.96020874103066,4
Bastrop,11961,1080,90.29345372460497,0
Bay City,17247,1472,85.3481764944628,0
Baytown,83809,5841,69.69418558865993,0
Beaumont,110671,11379,102.81826314029873,0
Bedford,48193,2692,55.85873467101031,1
Bee Cave,8704,455,52.27481617647059,1
Beeville,13176,876,66.48451730418942,0
Bellaire,16894,831,49.18906120516159,1
Bellmead,10615,732,68.95902025435704,0
Bells,1574,10,6.353240152477763,5
Bellville,4215,182,43.1791221826809,2
Belton,24946,1683,67.46572596809106,0
Benbrook,24425,1187,48.59774820880246,1
Bertram,2247,59,26.2572318647085,3
Beverly Hills,1870,218,116.57754010695187,0
Big Sandy,1314,53,40.33485540334855,2
Big Spring,24933,2046,82.05992058717362,0
Blanco,1987,80,40.261701056869654,2
Blue Mound,2302,26,11.294526498696786,5
Boerne,22163,719,32.44145648152326,2
Bogata,1094,5,4.570383912248629,5
Borger,12116,703,58.02244965335094,1
Bovina,1635,16,9.785932721712538,5
Bowie,5893,237,40.21720685559138,2
Boyd,1606,69,42.96388542963885,2
Brady,4964,186,37.46978243352135,2
Brazoria,2827,78,27.59108595684471,3
Breckenridge,5172,229,44.276875483372,1
Bremond,877,21,23.94526795895097,3
Brenham,19047,1198,62.897044153935006,0
Bridge City,9585,155,16.17110067814293,4
Bridgeport,6523,348,53.34968572742603,1
Brookshire,5755,174,30.234578627280627,3
Brownfield,8624,403,46.73005565862709,1
Brownsville,190590,10703,56.15719607534498,1
Brownwood,18652,1400,75.05897490885697,0
Bruceville-Eddy,1459,31,21.247429746401643,4
Buda,16508,656,39.738308698812695,2
Buffalo,1848,75,40.58441558441558,2
Bullard,4553,63,13.837030529321327,4
Bulverde,6907,586,84.84146518025192,0
Burkburnett,11166,295,26.419487730610783,3
Burleson,56307,1984,35.23540589979932,2
Burnet,6841,327,47.800029235491884,1
Cactus,3058,184,60.170045781556574,0
Caddo Mills,5344,53,9.917664670658683,5
Caldwell,4520,108,23.893805309734514,3
Calvert,969,68,70.17543859649122,0
Cameron,5472,105,19.188596491228072,4
Canton,4726,228,48.24375793482861,1
Canyon,16211,388,23.934365554253286,3
Carrollton,134261,5357,39.89989647030783,2
Carthage,6565,448,68.24067022086824,0
Castle Hills,3909,408,104.37452033768227,0
Castroville,3138,128,40.79031230082855,2
Cedar Hill,48247,2120,43.94055588948536,1
Cedar Park,77464,2922,37.72074770215842,2
Celina,24571,783,31.866834886655003,2
Center,5124,391,76.30757220921156,0
Chandler,3577,41,11.462119094213028,5
Charlotte,1597,32,20.037570444583594,4
Childress,5830,144,24.69982847341338,3
China Grove,1131,64,56.587091069849684,1
Cibolo,35851,1057,29.48313854564726,3
Cisco,3986,138,34.62117410938284,2
Cleburne,35075,1429,40.74126870990734,2
Clifton,3536,94,26.583710407239817,3
Clute,10640,718,67.4812030075188,0
Clyde,4010,142,35.41147132169576,2
Cockrell Hill,3658,168,45.92673592126845,1
Coleman,4001,94,23.494126468382905,3
College Station,126136,4899,38.83903088729625,2
Colleyville,25748,720,27.963336958210345,3
Collinsville,2086,21,10.06711409395973,5
Colorado City,3910,165,42.19948849104859,2
Columbus,3724,111,29.80665950590763,3
Comanche,4273,219,51.25204774163351,1
Combes,3173,179,56.41348881184998,1
Commerce,9372,512,54.63081519419548,1
Conroe,106904,5493,51.382548828855796,1
Converse,30522,1600,52.42120437717057,1
Coppell,41719,947,22.699489441261775,3
Copperas Cove,38602,2746,71.13621055903839,0
Corinth,22965,509,22.164162856520793,4
Corpus Christi,315340,29880,94.75486776178094,0
Corrigan,1480,61,41.21621621621622,2
Corsicana,25782,1542,59.809169187805445,0
Crandall,5054,551,109.02255639097744,0
Crane,3293,63,19.1314910416034,4
Crockett,6302,437,69.34306569343066,0
Crowley,20071,1121,55.851726371381595,1
Crystal City,6050,115,19.008264462809915,4
Cuero,8085,450,55.65862708719852,1
Cuney,115,5,43.47826086956522,1
Daingerfield,2521,141,55.93018643395478,1
Dalhart,8389,287,34.21146739778281,2
Dallas,1304989,109358,83.79994007612325,0
Dalworthington Gardens,2263,64,28.281042863455593,3
Dawson,828,17,20.531400966183575,4
Dayton,9655,364,37.700673226307615,2
Decatur,7499,743,99.0798773169756,0
Deer Park,33033,1427,43.19922501740683,2
De Leon,2332,59,25.30017152658662,3
Del Rio,34466,1432,41.54819242151685,2
Denison,27261,967,35.47191959209126,2
Denton,155215,8310,53.538639951035655,1
Denver City,4230,81,19.148936170212767,4
DeSoto,56257,2777,49.362745969390474,1
Devine,4590,153,33.333333333333336,2
Diboll,4617,163,35.30431015811133,2
Dickinson,21881,843,38.526575567844255,2
Dilley,3331,85,25.517862503752625,3
Dimmitt,4100,84,20.48780487804878,4
Donna,16769,1350,80.50569503250045,0
Double Oak,3084,33,10.700389105058365,5
Driscoll,659,0,0.0,5
Dublin,3470,26,7.492795389048991,5
Dumas,14037,725,51.649212794756714,1
Duncanville,39104,1914,48.94639934533552,1
Eagle Pass,28315,1620,57.213491082465126,1
Early,3243,185,57.04594511255011,1
Eastland,3653,259,70.90062961949083,0
East Mountain,951,9,9.46372239747634,5
Edcouch,2674,43,16.080777860882574,4
Edgewood,1734,0,0.0,5
Edinburg,106137,7341,69.16532406229685,0
Edna,6015,173,28.761429758935993,3
El Campo,12103,956,78.98868049243988,0
Electra,2290,95,41.48471615720524,2
Elgin,12235,628,51.3281569268492,1
El Paso,676665,32675,48.288296276591815,1
Elsa,5663,519,91.64753664135618,0
Emory,1394,20,14.347202295552368,4
Encinal,517,23,44.48742746615087,1
Ennis,24347,728,29.901014498706203,3
Euless,59722,2710,45.37691303037407,1
Eustace,1156,29,25.086505190311417,3
Everman,5929,221,37.274413897790524,2
Fairfield,2926,114,38.96103896103896,2
Fair Oaks Ranch,11753,428,36.41623415298221,2
Fairview,11071,174,15.716737422093757,4
Falfurrias,4398,38,8.640291041382447,5
Farmers Branch,36538,2088,57.14598500191581,1
Farmersville,4227,96,22.7111426543648,3
Farwell,1369,11,8.035062089116142,5
Fate,25400,366,14.409448818897637,4
Ferris,2934,78,26.584867075664622,3
Flatonia,1365,45,32.96703296703297,2
Florence,1203,35,29.09393183707398,3
Floresville,8480,305,35.96698113207547,2
Flower Mound,79513,1286,16.173455912869592,4
Floydada,2560,77,30.078125,3
Forest Hill,13583,425,31.28911138923655,2
Forney,37242,799,21.454272058428653,4
Fort Stockton,8053,158,19.620017384825534,4
Fort Worth,973722,52965,54.394375396673794,1
Franklin,1790,42,23.463687150837988,3
Frankston,1094,136,124.31444241316271,0
Fredericksburg,11446,291,25.423728813559325,3
Freeport,10478,459,43.806069860660436,1
Freer,2360,82,34.74576271186441,2
Friendswood,40678,1021,25.09956241703132,3
Friona,4001,31,7.748062984253936,5
Frisco,228527,6878,30.097100123836572,3
Fulshear,25579,332,12.979397161734235,4
Gainesville,18167,1162,63.96212913524523,0
Galena Park,10215,386,37.787567302985806,2
